VP	Comp	RT	Error
1	incomp	380.2	0
1	incomp	342.4	0
1	incomp	391.8	0
1	comp	426.3	0
1	comp	363.5	0
1	incomp	367.5	0
1	comp	347	0
1	comp	404.6	0
1	comp	348.6	0
1	comp	392.3	0
1	incomp	439	0
1	comp	394.1	0
1	comp	422.6	0
1	incomp	362.6	0
1	comp	332.2	0
1	comp	382.4	0
1	incomp	403.6	0
1	incomp	359.8	0
1	comp	318.7	0
1	incomp	398	0
1	incomp	376	0
1	comp	352.8	0
1	comp	366.8	0
1	incomp	361.4	0
1	incomp	348.4	0
1	comp	362.7	0
1	incomp	423.9	0
1	comp	394.1	0
1	comp	387	0
1	comp	350.4	0
1	comp	361.6	0
1	comp	383.1	0
1	incomp	464.2	0
1	incomp	345	0
1	incomp	354.7	0
1	comp	365	0
1	comp	376.3	0
1	incomp	376.3	0
1	comp	379.3	0
1	comp	408.7	0
1	comp	385.7	0
1	comp	377.7	0
1	incomp	381.9	0
1	comp	382.7	0
1	incomp	335.8	0
1	incomp	385.2	0
1	incomp	392.7	0
1	comp	347	0
1	incomp	410.2	0
1	incomp	372.5	0
1	incomp	400.7	0
1	incomp	394.5	0
1	incomp	395.4	0
1	comp	406.8	0
1	incomp	378.3	0
1	incomp	411	0
1	comp	373.4	0
1	incomp	393.8	1
1	incomp	435.9	0
1	comp	386.4	0
1	incomp	345.4	0
1	comp	367.6	0
1	comp	417.8	0
1	comp	392.2	0
1	incomp	416.9	0
1	comp	361.5	0
1	comp	430.3	0
1	incomp	361	0
1	incomp	434.6	0
1	incomp	392.2	0
1	comp	391.1	0
1	incomp	384.5	0
1	incomp	353.3	0
1	incomp	379.9	0
1	comp	365	0
1	comp	349.7	0
1	incomp	333.6	0
1	comp	431.6	0
1	comp	330	0
1	incomp	339.9	0
1	incomp	362.5	0
1	comp	478.4	0
1	comp	392	0
1	comp	402.5	0
1	incomp	438.5	0
1	comp	357.1	0
1	comp	371.2	0
1	incomp	405.1	0
1	incomp	310.5	0
1	incomp	433.1	0
1	incomp	323.2	0
1	comp	338.7	1
1	comp	373.6	0
1	incomp	380.2	0
1	comp	371.5	0
1	comp	351.5	0
1	comp	378	0
1	incomp	369	0
1	incomp	415.4	0
1	comp	383.7	0
1	incomp	364.1	0
1	incomp	348.3	0
1	comp	358.7	0
1	incomp	318.3	1
1	comp	361.4	0
1	incomp	405.1	0
1	incomp	411.5	0
1	comp	382	0
1	incomp	383.9	1
1	comp	358.6	0
1	incomp	501.2	0
1	incomp	390.6	0
1	incomp	503.9	0
1	comp	422.3	0
1	comp	453	0
1	incomp	415.1	0
1	comp	426.2	0
1	comp	382.3	0
1	comp	390.6	0
1	incomp	407.5	0
1	incomp	421.8	0
1	incomp	394.6	0
1	comp	430.5	0
1	comp	390.7	0
1	incomp	426	0
1	incomp	379.8	0
1	comp	425.1	0
1	incomp	363.6	0
1	incomp	355.7	0
1	incomp	350.8	1
1	incomp	389.7	0
1	incomp	409.7	0
1	comp	393.2	0
1	comp	361.7	0
1	comp	412.7	0
1	comp	400.6	0
1	comp	433.2	0
1	incomp	503	0
1	comp	361.2	0
1	comp	399.3	0
1	comp	388.1	0
1	incomp	406.2	0
1	incomp	388.7	0
1	comp	386.2	0
1	comp	394.3	0
1	comp	386	0
1	incomp	410.5	0
1	comp	399.2	0
1	comp	430.8	0
1	comp	365.8	0
1	incomp	402.4	0
1	comp	427.1	0
1	comp	405.8	0
1	comp	440.1	0
1	comp	406.3	0
1	incomp	403.1	0
1	comp	388.8	0
1	incomp	468.2	0
1	incomp	420.3	1
1	incomp	374	0
1	incomp	417.6	0
1	incomp	413.1	0
1	comp	380.7	0
1	comp	434.8	0
1	incomp	377.1	0
1	incomp	405.1	0
1	comp	390	0
1	comp	387.8	0
1	comp	393.9	0
1	comp	385	0
1	incomp	378.7	0
1	incomp	413.6	0
1	incomp	367.6	0
1	incomp	419.4	0
1	incomp	363.3	0
1	comp	384.2	0
1	comp	370.6	0
1	comp	360.1	0
1	incomp	336.9	0
1	comp	388.3	0
1	incomp	423.3	0
1	comp	437.4	0
1	comp	453.3	0
1	incomp	475.9	0
1	comp	435	0
1	incomp	426.4	0
1	comp	422.8	0
1	comp	423.3	0
1	comp	431.6	0
1	incomp	410.8	0
1	comp	378.7	0
1	comp	395	0
1	comp	420.1	0
1	incomp	357.3	0
1	incomp	492.9	0
1	comp	393.3	0
1	incomp	361.4	0
1	comp	387.3	0
1	incomp	422.9	0
1	incomp	424.3	0
1	incomp	408.6	0
1	incomp	418.5	0
1	comp	456.2	0
1	incomp	398.9	0
1	comp	386	0
1	incomp	413	0
1	incomp	471.5	0
1	comp	394.2	0
1	incomp	384.3	0
1	incomp	407.6	0
1	incomp	377.5	0
1	comp	423.5	0
1	incomp	387.7	0
1	comp	456.9	0
1	incomp	414.2	0
1	incomp	443.7	0
1	comp	379.9	0
1	comp	365.9	0
1	comp	352.8	0
1	comp	369.8	0
1	incomp	421.1	0
1	comp	391.8	0
1	comp	436.2	0
1	comp	365.4	0
1	incomp	418.4	0
1	comp	418.1	0
1	comp	422.6	0
1	comp	439.5	0
1	comp	416.5	0
1	incomp	412.8	0
1	comp	325.2	0
1	incomp	530.6	0
1	comp	481.6	0
1	incomp	544.9	0
1	comp	404.3	0
1	incomp	447.9	0
1	comp	356.9	0
1	comp	393.7	0
1	incomp	458.9	0
1	incomp	411.4	0
1	comp	468.2	0
1	incomp	347.1	0
1	incomp	364.4	0
1	incomp	431.7	0
1	comp	515.3	0
1	incomp	414.8	0
1	incomp	381.4	0
1	incomp	401.8	0
1	comp	366.1	0
1	comp	383.9	0
1	incomp	435.8	0
1	incomp	362	0
1	comp	368.5	0
1	incomp	372.9	0
1	comp	339.3	0
1	comp	340.1	0
1	incomp	380.4	0
1	comp	372.3	0
1	incomp	423.8	0
1	incomp	562.9	0
1	comp	415.6	0
1	incomp	421.6	0
1	comp	406.8	0
1	comp	370.3	0
1	incomp	360.5	0
1	comp	425.6	0
1	comp	403	0
1	incomp	427.6	0
1	incomp	470.3	0
1	comp	389.2	0
1	comp	415.3	0
1	incomp	398.1	0
1	incomp	394.6	0
1	comp	387.1	0
1	comp	374.1	0
1	incomp	429	0
1	incomp	418.1	0
1	incomp	388.9	0
1	comp	429.7	0
1	comp	495	0
1	incomp	380.6	0
1	incomp	370.9	0
1	comp	406.3	0
1	incomp	449.3	0
1	incomp	343.8	0
1	incomp	371	0
1	incomp	429.4	0
1	incomp	429.3	0
1	comp	365.7	0
1	comp	362.1	0
1	incomp	404.1	0
1	incomp	438.4	0
1	comp	314.3	0
1	incomp	366.7	0
1	comp	410.5	0
1	comp	393	0
1	comp	479.7	0
1	comp	406.6	0
1	incomp	403.6	0
1	incomp	329.8	0
1	incomp	418.1	0
1	comp	388	0
1	comp	439.5	0
1	incomp	362.3	0
1	comp	329.7	0
1	incomp	728.4	0
1	incomp	371.3	0
1	incomp	449.8	0
1	incomp	394.7	0
1	incomp	357.2	0
1	incomp	385.9	0
1	comp	388.5	0
1	comp	381.9	0
1	incomp	415.2	0
1	comp	399.8	0
1	incomp	402.5	0
1	comp	401.8	0
1	incomp	370.3	0
1	comp	378.3	0
1	comp	362.4	0
1	comp	351.7	0
1	comp	378.7	0
1	comp	379.4	0
1	comp	451.6	0
1	incomp	367.3	0
1	incomp	360	0
1	comp	402.6	0
1	incomp	346.1	1
1	incomp	382.6	0
1	incomp	388.2	0
1	incomp	391.8	0
1	comp	380.2	0
1	comp	376.5	0
1	incomp	445.8	0
1	comp	375.5	0
1	comp	336.6	0
1	incomp	340.8	0
1	incomp	363	0
1	incomp	422.9	0
1	incomp	430.6	0
1	incomp	378.4	0
1	comp	363.1	0
1	comp	354.5	0
1	incomp	411.9	0
1	comp	433.7	0
1	incomp	351.5	0
1	comp	459	0
1	incomp	381.8	0
1	comp	410.2	0
1	comp	372.6	0
1	incomp	383.6	0
1	comp	326.1	0
1	incomp	504.4	0
1	incomp	382.7	0
1	incomp	468.6	0
1	comp	394.3	0
1	comp	363	0
1	incomp	402.2	0
1	comp	396.3	0
1	comp	405.5	0
1	incomp	368.2	0
1	incomp	430.3	0
1	comp	377.7	0
1	incomp	458.8	0
1	comp	326.5	0
1	incomp	344.7	0
1	comp	399.1	0
1	incomp	373.9	0
1	comp	402.5	0
1	comp	330.4	0
1	incomp	319	1
1	comp	391.4	0
1	comp	396.5	0
1	comp	388.7	0
1	comp	355.1	0
1	incomp	427.3	0
1	comp	444.5	0
1	comp	424.9	0
1	incomp	446.5	0
1	comp	393.8	0
1	comp	373	0
1	incomp	425.4	1
1	comp	332.4	0
1	incomp	356.9	0
1	incomp	412	0
1	comp	411.6	0
1	incomp	351.7	0
1	incomp	360.5	0
1	comp	361.9	0
1	incomp	343.5	0
1	incomp	344	0
1	incomp	502.1	0
1	comp	350.5	0
1	comp	358.4	0
1	comp	492.3	0
1	incomp	590.5	0
1	incomp	333.7	1
1	incomp	384	0
1	comp	412.1	0
1	incomp	414.2	0
1	comp	405.3	0
1	comp	388.2	0
1	incomp	773.1	0
1	comp	362.2	0
1	incomp	405.3	0
1	incomp	373.8	0
1	incomp	337.3	0
1	incomp	396.8	0
1	comp	417.5	0
1	comp	387.4	0
1	incomp	377.2	0
1	comp	366	0
1	incomp	381.1	0
1	comp	387.3	0
1	comp	421	0
1	incomp	442.1	0
1	comp	332.7	0
1	incomp	410.8	0
1	comp	338.7	0
1	incomp	362.3	0
1	incomp	408	0
1	incomp	390.8	0
1	comp	434.7	0
1	comp	389.7	0
1	comp	331.6	0
1	comp	367	0
1	incomp	376.2	0
1	incomp	394.8	0
1	comp	338.5	0
1	comp	347.5	0
1	incomp	365.1	0
1	incomp	356.7	0
1	comp	346.4	0
1	comp	357.3	1
1	comp	335.3	0
1	incomp	484.7	0
1	incomp	364.8	0
1	comp	401.4	0
1	incomp	394.9	0
1	comp	321.6	0
1	incomp	357.4	0
1	incomp	370.3	0
1	comp	330	0
1	incomp	350.1	1
1	incomp	422.2	0
1	incomp	384.4	0
1	incomp	401.9	0
1	incomp	396.2	0
1	comp	372.7	0
1	comp	372.3	0
1	incomp	393.4	0
1	incomp	380.5	0
1	comp	407.2	0
1	incomp	398.1	0
1	incomp	435.2	0
1	incomp	353.8	0
1	comp	343.4	0
1	comp	326.8	0
1	incomp	400	0
1	comp	388.1	0
1	comp	320.4	0
1	comp	337	0
1	incomp	387.7	0
1	incomp	390.8	0
1	comp	290.5	1
1	comp	400.6	0
1	incomp	338.5	1
1	comp	402.2	0
1	comp	415.6	0
1	comp	412.8	0
1	comp	371.9	0
1	incomp	411.7	0
1	comp	394.4	0
1	comp	349.4	0
1	incomp	352	0
1	incomp	361.3	1
1	incomp	361.2	0
1	incomp	401.1	0
1	incomp	405.7	0
1	comp	412.5	0
1	comp	415.9	0
1	incomp	374.2	0
1	incomp	465.2	0
1	comp	354.9	0
1	comp	389.7	0
1	comp	398.3	0
1	incomp	342.5	0
1	comp	419.5	0
1	incomp	411.4	0
1	incomp	402.4	0
